stock1,stock2,r_xy,r_yx
ACN,CTSH,0.8594717556078154,0.8594726847095059
ADI,TEL,0.8561707337535025,0.8561714714921429
ANET,AVGO,0.9212631536444248,0.9212643052814884
ANET,GDDY,0.8385598613229415,0.8385602969266525
ANET,GLW,0.859518511000652,0.8595187760601147
GLW,ORCL,0.9556340368667786,0.9556344770960175
HPQ,TXN,0.8742121188590967,0.8742127663299628
MU,QCOM,0.8235429928043814,0.8235438501852533
NXPI,QCOM,0.8635816576489348,0.8635830004708605
